City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,kuusamo,65.9667,29.1833,-11.98,92,100,2.06,FI,1675556685
84,butaritari,3.0707,172.7902,27.34,81,52,8.37,KI,1675556686
85,oyon,-10.6681,-76.7731,8.22,90,100,1.68,PE,1675556686
86,wanning,18.8003,110.3967,22.39,91,100,3.38,CN,1675556687
87,sitka,57.0531,-135.33,2.94,87,100,1.54,US,1675556528
88,mataura,-46.1927,168.8643,20.61,81,100,1.43,NZ,1675556687
89,mecca,21.4267,39.8261,19.5,58,9,2.76,SA,1675556433
90,saldanha,-33.0117,17.9442,19.03,96,94,5.69,ZA,1675556688
91,lavrentiya,65.5833,-171.0,-22.83,91,97,3.21,RU,1675556689
92,cabo san lucas,22.8909,-109.9124,27.61,55,0,3.09,MX,1675556640
93,ponta do sol,32.6667,-17.1,17.35,51,32,3.79,PT,1675556689
94,thompson,55.7435,-97.8558,-19.91,77,75,1.03,CA,1675556690
95,pontes e lacerda,-15.2261,-59.3353,22.96,93,91,1.11,BR,1675556691
96,high level,58.5169,-117.136,-13.94,92,100,2.06,CA,1675556691
97,chuy,-33.6971,-53.4616,18.51,94,35,5.38,UY,1675556692
98,kaitangata,-46.2817,169.8464,23.51,63,100,1.61,NZ,1675556431
99,arraial do cabo,-22.9661,-42.0278,25.24,88,23,6.13,BR,1675556692
100,chiredzi,-21.05,31.6667,22.67,66,49,3.36,ZW,1675556693
101,dikson,73.5069,80.5464,-18.99,97,100,1.35,RU,1675556411
102,yenagoa,4.9247,6.2642,25.86,87,99,2.37,NG,1675556693
103,deputatskiy,69.3,139.9,-32.36,99,96,1.11,RU,1675556694
104,lebu,-37.6167,-73.65,15.15,95,62,1.66,CL,1675556694
105,mendoza,-32.8908,-68.8272,28.74,37,0,1.54,AR,1675556695
106,new norfolk,-42.7826,147.0587,21.07,43,9,2.24,AU,1675556395
107,barrow,71.2906,-156.7887,-29.99,76,0,4.63,US,1675556695
108,mogadishu,2.0371,45.3438,24.39,73,63,9.35,SO,1675556491
109,bethel,41.3712,-73.414,-6.8,45,20,2.06,US,1675556695
110,carnarvon,-24.8667,113.6333,26.74,68,1,3.99,AU,1675556696
111,fowa,8.9167,6.4,27.92,18,40,2.14,NG,1675556696
112,chiang khong,20.2613,100.4046,16.79,99,81,0.58,TH,1675556697
113,mzimba,-11.9,33.6,17.23,95,87,0.64,MW,1675556697
114,beloha,-25.1667,45.05,22.5,82,100,5.86,MG,1675556697
115,karratha,-20.7377,116.8463,32.31,47,26,2.41,AU,1675556698
116,half moon bay,37.4636,-122.4286,15.44,92,100,11.32,US,1675556698
117,te anau,-45.4167,167.7167,16.35,95,100,2.93,NZ,1675556699
118,clyde river,70.4692,-68.5914,-26.87,63,100,7.72,CA,1675556699
119,kahului,20.8947,-156.47,27.01,66,20,10.29,US,1675556476
120,nyurba,63.2842,118.3319,-47.55,100,100,0.8,RU,1675556644
121,praia da vitoria,38.7333,-27.0667,15.42,94,20,6.41,PT,1675556700
122,bien hoa,10.95,106.8167,23.99,76,34,2.39,VN,1675556682
123,norman wells,65.282,-126.8329,-25.98,70,75,1.54,CA,1675556496
124,alghero,40.5589,8.3181,5.05,100,0,1.54,IT,1675556701
125,husavik,66.0449,-17.3389,-2.16,76,48,6.67,IS,1675556701
126,malingin,11.05,123.9833,25.89,83,99,3.98,PH,1675556702
127,mar del plata,-38.0023,-57.5575,20.05,73,0,2.06,AR,1675556581
128,pangnirtung,66.1451,-65.7125,-35.32,97,66,0.27,CA,1675556705
129,kaniama,-7.5667,24.1833,17.47,97,95,1.27,CD,1675556707
130,cape coast,5.1053,-1.2466,25.99,87,57,4.04,GH,1675556709
131,isabela,6.7085,121.9711,27.03,77,99,2.37,PH,1675556714
132,namibe,-15.1961,12.1522,21.31,77,76,2.79,AO,1675556716
133,yerbogachen,61.2767,108.0108,-28.98,100,95,1.03,RU,1675556523
134,la ronge,55.1001,-105.2842,-11.86,79,75,1.54,CA,1675556558
135,avarua,-21.2078,-159.775,29.03,79,75,6.69,CK,1675556726
136,hailin,44.5833,129.4167,-16.01,90,96,0.61,CN,1675556733
137,iranshahr,27.2025,60.6848,14.19,72,0,3.09,IR,1675556735
138,ranchi,23.35,85.3333,14.06,62,41,1.54,IN,1675556736
139,maneadero,31.7167,-116.5667,17.28,71,6,0.45,MX,1675556736
140,nemuro,43.3236,145.575,-5.33,71,28,3.42,JP,1675556737
141,jinchang,38.4953,102.1739,-3.02,39,1,0.55,CN,1675556737
142,ponsacco,43.6238,10.6291,9.36,77,1,3.58,IT,1675556738
143,coihaique,-45.5752,-72.0662,22.97,49,20,1.54,CL,1675556490
144,grand gaube,-20.0064,57.6608,26.22,85,88,5.34,MU,1675556739
145,manakara,-22.1333,48.0167,23.16,91,100,0.72,MG,1675556739
146,upernavik,72.7868,-56.1549,-22.19,98,100,0.7,GL,1675556739
147,sturgeon falls,46.3646,-79.9326,-12.02,94,100,5.17,CA,1675556740
148,geraldton,-28.7667,114.6,26.23,73,40,3.6,AU,1675556740
149,oyama,36.3,139.8,5.88,45,0,1.3,JP,1675556741
150,mlonggo,-6.5333,110.7,25.69,88,100,2.63,ID,1675556741
151,bud,39.447,-86.1758,5.38,53,91,7.08,US,1675556502
152,whitehorse,60.7161,-135.0538,-9.99,78,75,2.57,CA,1675556742
153,beyneu,45.3167,55.2,-0.31,97,100,4.07,KZ,1675556742
154,faya,18.3851,42.4509,10.29,56,94,0.95,SA,1675556743
155,hermanus,-34.4187,19.2345,21.56,92,24,2.45,ZA,1675556743
156,bandarbeyla,9.4942,50.8122,23.02,73,90,6.64,SO,1675556744
157,tuatapere,-46.1333,167.6833,18.04,99,100,1.49,NZ,1675556744
158,sorland,67.667,12.6934,3.92,95,100,18.13,NO,1675556744
159,hofn,64.2539,-15.2082,0.75,65,69,2.53,IS,1675556745
160,tripoli,32.8752,13.1875,14.07,72,50,5.42,LY,1675556613
161,uusikaupunki,60.8004,21.4084,-3.03,75,27,4.95,FI,1675556746
162,nanortalik,60.1432,-45.2371,-4.03,80,99,7.75,GL,1675556746
163,mahebourg,-20.4081,57.7,26.16,83,40,1.54,MU,1675556747
164,pacific grove,36.6177,-121.9166,15.79,87,100,9.83,US,1675556747
165,olafsvik,64.8945,-23.7142,3.28,96,100,11.82,IS,1675556748
166,meulaboh,4.1363,96.1285,23.54,88,93,1.5,ID,1675556748
167,baie-comeau,49.2168,-68.1489,-24.18,53,0,5.66,CA,1675556639
168,vitim,59.4511,112.5578,-16.32,96,100,2.23,RU,1675556749
169,hohhot,40.8106,111.6522,-7.84,53,0,2.0,CN,1675556749
170,kununurra,-15.7667,128.7333,28.99,70,40,1.03,AU,1675556749
171,lafia,8.4833,8.5167,27.32,17,56,0.9,NG,1675556750
172,biloela,-24.4167,150.5,30.88,51,87,2.36,AU,1675556750
173,hualmay,-11.0964,-77.6139,22.61,80,96,3.21,PE,1675556750
174,indian head,38.6001,-77.1622,0.07,39,0,3.09,US,1675556751
175,valley city,46.9233,-98.0032,0.29,93,0,5.66,US,1675556667
176,lisakovsk,52.5369,62.4936,-20.91,100,48,3.19,KZ,1675556751
177,urucui,-7.2294,-44.5561,24.58,76,58,1.02,BR,1675556564
178,hasaki,35.7333,140.8333,6.27,54,6,6.99,JP,1675556752
179,port elizabeth,-33.918,25.5701,27.16,50,0,6.17,ZA,1675556752
180,banda aceh,5.5577,95.3222,24.98,85,92,2.9,ID,1675556753
181,gat,31.61,34.7642,12.44,100,71,4.31,IL,1675556460
182,algeciras,36.1333,-5.4505,10.82,82,0,1.03,ES,1675556753
183,puerto ayora,-0.7393,-90.3518,26.42,92,60,3.58,EC,1675556754
184,betare oya,5.6,14.0833,22.34,24,43,2.31,CM,1675556754
185,tagab,34.855,69.6492,2.42,54,19,2.69,AF,1675556754
186,saint george,37.1041,-113.5841,15.8,31,0,2.06,US,1675556523
187,port keats,-14.25,129.55,28.81,66,36,1.96,AU,1675556755
188,kavieng,-2.5744,150.7967,28.4,71,90,1.81,PG,1675556755
189,dickinson,29.4608,-95.0513,15.61,80,40,5.14,US,1675556756
190,fortuna,40.5982,-124.1573,16.19,73,100,6.69,US,1675556756
191,progreso,21.2833,-89.6667,22.28,76,62,7.18,MX,1675556757
192,mackay,-21.15,149.2,32.6,76,100,3.38,AU,1675556757
193,siguiri,11.6667,-9.5,25.34,19,57,1.58,GN,1675556758
194,ouro fino,-22.2831,-46.3692,19.96,97,99,0.96,BR,1675556759
195,robertsport,6.7533,-11.3686,26.34,90,37,3.94,LR,1675556759
196,kulhudhuffushi,6.6221,73.07,26.69,78,100,1.71,MV,1675556759
197,bluefield,37.2698,-81.2223,1.12,61,48,2.02,US,1675556760
198,hamilton,39.1834,-84.5333,6.97,47,0,7.2,US,1675556760
199,kenai,60.5544,-151.2583,-2.73,84,100,3.09,US,1675556470
200,haines junction,60.7522,-137.5108,-9.03,73,100,0.51,CA,1675556761
201,sadovoye,47.7764,44.5089,-1.88,95,100,2.34,RU,1675556761
202,avera,33.194,-82.5271,5.73,48,67,2.45,US,1675556511
